romance,new_character,character_development,magic_kaito,english_airdate,next_conans_hint,original_airdate,episode_title,japanese_episode_number,characters_pasts,black_organization,manga_source,fbi,english_episode_number
no,no,no,no,,Gunshot wound,"June 9, 1997",A Ghost Ship Murder Case (Part 2),62,no,no,TV Original,no,64
no,yes,no,no,,Paint,"June 16, 1997",Big Monster Gomera Murder Case,63,no,no,V13 - F8~10,no,65
no,no,no,no,,Videocassette case,"June 23, 1997",The Third Fingerprint Murder Case,64,no,no,TV Original,no,66
no,no,no,no,,Table and chairs,"June 30, 1997",A Crab and Whale Kidnapping Case,65,no,no,TV Original,no,67
no,no,no,no,,Cigarettes,"July 7, 1997",Night Road Murder Case,66,no,no,TV Original,no,68
no,no,no,no,,Vinyl tape,"July 14, 1997",Stage Actress Murder Case,67,no,no,TV Original,no,69
no,no,yes,no,,Computer virus,"July 21, 1997",Night Baron Murder Case (The Case),68,no,no,V8 - F2~7,no,70
no,no,no,no,,Karate,"July 28, 1997",Night Baron Murder Case (The Suspicion),69,no,no,V8 - F2~7,no,71
no,no,no,no,,Building winds,"August 4, 1997",Night Baron Murder Case (The Resolution),70,no,no,V8 - F2~7,no,72
no,no,no,no,,Adhesive,"August 11, 1997",A Stalker's Murder Case,71,no,no,TV Original,no,73
no,yes,no,no,,Home Run,"August 18, 1997",The Triplet's Country Home Murder Case,72,no,no,V13 - F2~4,no,74
no,no,no,no,,The movement of the tides,"August 25, 1997",The Detective Boys' Disaster Case,73,no,no,TV Original,no,75
no,no,no,no,,Elevator,"September 1, 1997",The Death God Jinnai Murder Case,74,no,no,TV Original,no,76
no,no,no,no,,Toilet,"September 8, 1997",Loan Company President's Murder Case,75,no,no,V15 - F7~9,no,77
no,yes,yes,yes,,Pearl,"September 22, 1997",Conan vs. Kaitou Kid (1 Hour Special),76,no,no,V16 - F6~9,no,78-79
no,no,no,no,,Great detective of the West,"October 20, 1997",Distinguished Family's Consecutive Accidental Death Case (Part 1),77,no,no,V15 - F10,no,80
no,no,no,no,,Fountain pen,"October 27, 1997",Distinguished Family's Consecutive Accidental Death Case (Part 2),78,yes,no,V15 - F10,no,81
no,no,no,no,,Mobile phone,"November 3, 1997",The Bank Heist Murder Case,79,no,no,TV Original,no,82
no,no,no,no,,House cleaning,"November 10, 1997",The Wandering Artist Murder Case,80,no,no,TV Original,no,83
no,yes,yes,no,,Two-Mix,"November 17, 1997",The Kidnapping of a Popular Artist Case (Part 1),81,no,no,V15 - F4~6,no,84
no,no,no,no,,New Year's Eve midnight bell,"November 24, 1997",The Kidnapping of a Popular Artist Case (Part 2),82,no,no,V15 - F4~6,no,85
no,no,no,no,,Coffee,"December 1, 1997",General Hospital Murder Case,83,no,no,TV Original,no,86
no,no,no,no,,Heater,"December 8, 1997",Ski Lodge Murder Case (Part 1),84,no,no,V14 - F9,no,87
no,no,yes,no,,Hair,"December 15, 1997",Ski Lodge Murder Case (Part 2),85,no,no,V14 - F9,no,88
no,no,yes,no,,Trains,"January 12, 1998",The Kidnapping Location Case,86,no,no,SV1 - F2,no,89
no,no,no,no,,Bird's nest,"January 19, 1998",The Crane's Return of a Favor Murder Case,87,no,no,TV Original,no,90
no,no,no,no,,Projector,"January 26, 1998",Dracula's Villa Murder Case (Part 1),88,no,no,TV Original,no,91
no,no,no,no,,Paint,"February 2, 1998",Dracula's Villa Murder Case (Part 2),89,no,no,TV Original,no,92
no,no,no,no,,Ice,"February 9, 1998",The Flower Scent Murder Case,90,no,no,TV Original,no,93
no,no,no,no,,Cream puff,"February 16, 1998",The Bank Robber's Hospitalization Case,91,no,no,V17 ~ F6,no,94
no,no,no,no,,Knife,"February 23, 1998",The Fearful Traversing Murder Case (Part 1),92,no,no,TV Original,no,95
no,no,no,no,,Mountain cottage record notebook,"March 2, 1998",The Fearful Traversing Murder Case (Part 2),93,no,no,TV Original,no,96
no,no,no,no,,Sun block foundation,"March 9, 1998",Snow Woman's Legend Murder Case,94,no,no,TV Original,no,97
no,no,no,no,,Candy,"March 16, 1998",Kogoro's Date Murder Case,95,no,no,TV Original,no,98
no,yes,yes,no,,Actress,"March 23, 1998",The Cornered Famous Detective! Two Big Murder Cases (2 Hour Special),96,no,no,V14 - F1~8,no,99-102
no,no,no,no,,Decorative plant,"April 13, 1998",The Farewell Wine Murder Case,97,no,no,TV Original,no,103
no,yes,no,no,,Marbles,"April 20, 1998",The Famous Potter Murder Case (Part 1),98,no,no,V16 - F10,no,104
no,no,no,no,,Lipstick,"April 27, 1998",The Famous Potter Murder Case (Part 2),99,no,no,V16 - F10,no,105
no,no,no,no,,Lemon pie,"May 11, 1998",The Memories of First Love Case (Part 1),100,no,no,V18 - F3~5,no,106
yes,no,no,no,,Fax,"May 18, 1998",The Memories of First Love Case (Part 2),101,no,no,V18 - F3~5,no,107
no,no,no,no,,Telephone,"May 25, 1998",The Historical Actor Murder Case (Part 1),102,no,no,V17 - F10,no,108
no,no,no,no,,Tea,"June 1, 1998",The Historical Actor Murder Case (Part 2),103,no,no,V17 - F10,no,109
no,no,no,no,,Stamps,"June 8, 1998",The Mysterious Mansion of a Band of Thieves Case (Part 1),104,no,no,V17 - F7~9,no,110
no,no,no,no,,Door,"June 15, 1998",The Mysterious Mansion of a Band of Thieves Case (Part 2),105,no,no,V17 - F7~9,no,111
no,no,no,no,,Highway bus,"June 22, 1998",Scoop Picture Murder Case,106,no,no,TV Original,no,112
no,no,no,no,,Jewelery robbers,"June 29, 1998",The Mysterious Mole Alien Case (Part 1),107,no,no,TV Original,no,113
no,no,no,no,,Manhole,"July 6, 1998",The Mysterious Mole Alien Case (Part 2),108,no,no,TV Original,no,114
no,no,no,no,,Muddy water,"July 13, 1998",Detective Club Pursuit Case,109,no,no,TV Original,no,115
no,no,no,no,,Ice,"July 27, 1998",Cooking Classroom Murder Case (Part 1),110,no,no,TV Original,no,116
no,no,no,no,,Ring,"August 3, 1998",Cooking Classroom Murder Case (Part 2),111,no,no,TV Original,no,117
no,yes,no,no,,School infirmary,"August 10, 1998",The Seven Mysteries of Teitan Elementary School Case,112,no,no,V16 - F4~5,no,118
no,no,no,no,,Pool float,"August 17, 1998",The White Sandy Beach Murder Case,113,no,no,SV1 - F6,no,119
no,no,no,no,,Feather,"August 24, 1998",Scuba Diving Murder Case (Part 1),114,no,no,V17 - F3~5,no,120
no,no,no,no,,Ring,"August 31, 1998",Scuba Diving Murder Case (Part 2),115,no,no,V17 - F3~5,no,121
no,yes,no,no,,1/2,"September 7, 1998",The Mystery Writer Disappearance Case (Part 1),116,no,no,V19 - F2~4,no,122
no,no,no,no,,French,"September 14, 1998",The Mystery Writer Disappearance Case (Part 2),117,no,no,V19 - F2~4,no,123
no,yes,no,no,,Car mirror,"September 21, 1998",The Naniwa Serial Murder Case (1 Hour Special),118,no,no,V19 - F5~8,no,124-125
yes,no,no,no,,Model gun,"October 12, 1998",The Kamen Yaiba Murder Case,119,no,no,TV Original,no,126
no,no,no,no,,Balloon,"October 19, 1998",A Honey Cocktail Murder Case,120,no,no,TV Original,no,127
no,no,no,no,,Packing tape,"October 26, 1998",The Locked Bathroom Murder Case (Part 1),121,no,no,V20 - F7~9,no,128
no,no,no,no,,Bandana,"November 2, 1998",The Locked Bathroom Murder Case (Part 2),122,no,no,V20 - F7~9,no,129
no,no,no,no,,Beeper,"November 9, 1998",The Weather Girl Kidnapping Case,123,no,no,TV Original,no,130
no,no,no,no,,Spotlight,"November 16, 1998",A Mysterious Sniper Murder Case (Part 1),124,no,no,TV Original,no,-
no,no,no,no,,Remote control,"November 23, 1998",A Mysterious Sniper Murder Case (Part 2),125,no,no,TV Original,no,-
no,yes,no,no,,Characters,"November 30, 1998",The Traveling Drama Troupe Murder Case (Part 1),126,no,no,TV Original,no,-
no,no,no,no,,Script,"December 7, 1998",The Traveling Drama Troupe Murder Case (Part 2),127,no,no,TV Original,no,-
no,yes,yes,no,,Gin and Vodka,"December 14, 1998",The Black Organization: One Billion Yen Robbery Case,128,no,yes,V2 - F4~7,no,-
no,yes,yes,no,,Cassette tape,"January 4, 1999",The Girl from the Black Organization and the University Professor Murder Case (2 Hour Special),129,yes,yes,V18 - F6,no,-
no,yes,no,no,,Baseball cap,"January 11, 1999",The Indiscriminate Stadium Threatening Case (Part 1),130,no,no,V19 - F9,no,-
no,no,no,no,,TV camera,"January 18, 1999",The Indiscriminate Stadium Threatening Case (Part 2),131,no,no,V19 - F9,no,-
no,no,no,yes,,Screen name,"January 25, 1999",Magic Lover's Murder Case (The Case),132,no,no,V20 - F2~6,no,-
no,no,no,no,,Boat sail,"February 1, 1999",Magic Lover's Murder Case (The Suspicion),133,no,no,V20 - F2~6,no,-
no,no,no,yes,,Bow gun,"February 8, 1999",Magic Lover's Murder Case (The Resolution),134,no,no,V20 - F2~6,no,-
no,no,no,no,,Trash pickup day and crows,"February 15, 1999",The Disappearing Weapon Search Case,135,no,no,TV Original,no,-
yes,no,yes,no,,Chess pieces,"February 22, 1999",The Old Blue Castle Investigation Case (Part 1),136,no,no,V20 - F10,no,-
no,no,no,no,,Passport size,"March 1, 1999",The Old Blue Castle Investigation Case (Part 2),137,no,no,V20 - F10,no,-
no,yes,no,no,,Above the movie theater,"March 8, 1999",The Final Screening Murder Case (Part 1),138,no,no,V23 - F1~3,no,-
no,no,no,no,,Mirror,"March 15, 1999",The Final Screening Murder Case (Part 2),139,no,no,V23 - F1~3,no,-
no,no,no,no,,Clock,"April 12, 1999",SOS! Messages from Ayumi,140,no,no,TV Original,no,-
yes,no,yes,no,,Pendant,"April 19, 1999",The Night Before the Wedding Locked Room Case (Part 1),141,no,no,V21 - F11,no,-
no,no,no,no,,Bag,"April 26, 1999",The Night Before the Wedding Locked Room Case (Part 2),142,no,no,V21 - F11,no,-
no,no,no,no,,Developed picture,"May 3, 1999",The Suspicious Astronomical Observation,143,no,no,TV Original,no,-
no,no,no,no,,Northern star,"May 10, 1999",The North Star No.3 Express Leaving Ueno (Part 1),144,no,no,V22 - F4~7,no,-
no,no,no,no,,Disguise,"May 17, 1999",The North Star No.3 Express Leaving Ueno (Part 2),145,no,no,V22 - F4~7,no,-
yes,yes,yes,no,,Exercise bike,"May 24, 1999",Metropolitan Police Detective Love Story (Part 1),146,no,no,V21 - F8~10,no,-
yes,no,no,no,,Bookshelf,"May 31, 1999",Metropolitan Police Detective Love Story (Part 2),147,no,no,V21 - F8~10,no,-
no,no,no,no,,Camera case,"June 7, 1999",The Streetcar's Sudden Stopping Case,148,no,no,TV Original,no,-
yes,no,no,no,,Kamen Yaiba show,"June 21, 1999",The Amusement Park Bungee Jumping Case,149,no,no,TV Original,no,-
no,no,no,no,,Car garage,"June 28, 1999",The Truth Behind the Car Explosion Case (Part 1),150,yes,no,TV Original,no,-
no,no,yes,no,,Window,"July 5, 1999",The Truth Behind the Car Explosion Case (Part 2),151,yes,no,TV Original,no,-
no,yes,no,no,,Windowpane,"July 12, 1999",The Mysterious Old Man Disappearance Case,152,no,no,TV Original,no,-
no,yes,no,no,,Sonoko's camera,"July 19, 1999",Sonoko's Dangerous Summer Story (Part 1),153,no,no,V22 - F8~10,no,-
yes,no,yes,no,,Bite mark,"July 26, 1999",Sonoko's Dangerous Summer Story (Part 2),154,no,no,V22 - F8~10,no,-
no,no,no,no,,Crayon,"August 2, 1999",Underwater Key in the Locked Room Case,155,no,no,TV Original,no,-
yes,no,no,no,,Professor Agasa's newest invention,"August 9, 1999",Metropolitan Police Detective Love Story 2 (Part 1),156,no,no,V23 - F10,no,-
yes,no,no,no,,Cactus,"August 16, 1999",Metropolitan Police Detective Love Story 2 (Part 2),157,no,no,V23 - F10,no,-
no,no,no,no,,Pink ballpoint pen,"August 23, 1999",The Silent Loop Line,158,no,no,TV Original,no,-
no,no,no,no,,Rope,"September 6, 1999",The Legend of the Mysterious Five Storied Pagoda (Part 1),159,no,no,TV Original,no,-
no,no,no,no,,Wallet,"September 13, 1999",The Legend of the Mysterious Five Storied Pagoda (Part 2),160,no,no,TV Original,no,-
no,no,no,no,,Blowfish milt,"September 20, 1999",The Murder Floating in the Water Stream Restaurant,161,no,no,TV Original,no,-
yes,no,yes,no,,Tablets,"September 27, 1999",The Locked Room in the Sky: Shinichi Kudo's First Case (1 Hour Special),162,yes,no,V21 - F4~7,no,-
no,no,no,no,,One-yen coin,"October 11, 1999","The Secret of the Moon, the Star, and the Sun (Part 1)",163,no,no,V12 - F1~3,no,-
no,no,no,no,,20 dollar bill,"October 18, 1999","The Secret of the Moon, the Star, and the Sun (Part 2)",164,no,no,V12 - F1~3,no,-
yes,no,yes,no,,A bunch of puppets,"October 25, 1999",The Disappearing Detective Boys Case,165,no,no,TV Original,no,-
yes,no,yes,no,,Number of fish,"November 1, 1999",Tottori Spider Mansion Demon (The Case),166,no,no,V25 - F4~8,no,-
yes,no,no,no,,"Misa, Sae, and Emi","November 8, 1999",Tottori Spider Mansion Demon (The Suspicion),167,no,no,V25 - F4~8,no,-
no,no,no,no,,Roman alphabet,"November 15, 1999",Tottori Spider Mansion Demon (The Resolution),168,no,no,V25 - F4~8,no,-
no,no,no,no,,Make-up,"November 22, 1999",Venus' Kiss,169,no,no,TV Original,no,-
yes,yes,yes,no,,Fuse box,"November 29, 1999",The Blind Spot in the Darkness (Part 1),170,no,no,V24 - F3~6,no,-
yes,no,no,no,,Burn injury,"December 6, 1999",The Blind Spot in the Darkness (Part 2),171,no,no,V24 - F3~6,no,-
no,no,no,no,,The sound of fireworks,"December 13, 1999",The Revival of the Dying Message (Part 1),172,no,no,V25 - F1~3,no,-
yes,no,no,no,,5 yen coin,"December 20, 1999",The Revival of the Dying Message (Part 2),173,no,no,V25 - F1~3,no,-
yes,no,yes,no,,Tennis ball,"January 3, 2000",The Twenty Year Old Murderous Intent: The Symphony Serial Murder Case (2 Hour Special),174,yes,no,V23 - F4~9,no,-
no,no,no,no,,Hard headed,"January 10, 2000",The Man Who Was Killed Four Times,175,no,no,TV Original,no,-
no,yes,no,no,,Transmitter,"January 17, 2000",Reunion with the Black Organization (Haibara),176,yes,yes,V24 - F7~11,no,-
no,no,no,no,,Handkerchief,"January 24, 2000",Reunion with the Black Organization (Conan),177,no,yes,V24 - F7~11,no,-
no,no,no,no,,Luminescent substance,"January 31, 2000",Reunion with the Black Organization (The Resolution),178,yes,yes,V24 - F7~11,no,-
no,no,no,no,,Bus schedule,"February 7, 2000",The Coffee Shop Truck's Wild Entrance Case,179,no,no,TV Original,no,-
no,no,no,no,,Sculpture,"February 14, 2000",The Nocturne of Red Murderous Intent (Part 1),180,no,no,TV Original,no,-
no,no,no,no,,Wine,"February 21, 2000",The Nocturne of Red Murderous Intent (Part 2),181,no,no,TV Original,no,-
no,no,no,no,,Roman alphabet,"February 28, 2000",The Big Investigation of the Nine Doors,182,no,no,TV Original,no,-
no,no,no,no,,Dustpan,"March 6, 2000",A Dangerous Recipe,183,no,no,TV Original,no,-
no,no,no,no,,Necklace,"March 13, 2000",A Cursed Mask Coldly Laughs (1 Hour Special),184,no,no,TV Original,no,-
no,no,no,no,,Mountain rain,"April 10, 2000",The Murdered Famous Detective (Part 1),185,no,no,TV Original,no,-
no,no,no,no,,Bullet,"April 17, 2000",The Murdered Famous Detective (Part 2),186,no,no,TV Original,no,-
no,no,no,no,,Black tea,"April 24, 2000",The Unknown Gunshot That Rings in the Dark,187,no,no,TV Original,no,-
no,no,yes,no,,Misfire,"May 1, 2000",The Desperate Revival - The Cavern of the Detective Boys,188,no,no,V25 - F9,no,-
no,no,yes,no,,Shogi,"May 8, 2000",The Desperate Revival - The Wounded Great Detective,189,no,no,V25 - F9,no,-
yes,no,yes,no,,Ice coffee,"May 15, 2000",The Desperate Revival - The Third Choice,190,no,no,V25 - F9,no,-
yes,no,yes,no,,Ice,"May 22, 2000",The Desperate Revival - The Black Knight,191,no,no,V25 - F9,no,-
yes,no,no,no,,Location on a watch,"May 29, 2000",The Desperate Revival - Shinichi's Return,192,no,no,V25 - F9,no,-
yes,no,no,no,,Pink pearl necklace,"June 5, 2000",The Desperate Revival - The Promised Place,193,no,no,V25 - F9,no,-
no,no,yes,no,,"""Haru yo Koi"" (Japanese song)","June 12, 2000",The Significant Music Box (Part 1),194,no,no,V26 - F8~10,no,-
no,no,no,no,,Electric fan,"June 19, 2000",The Significant Music Box (Part 2),195,no,no,V26 - F8~10,no,-
no,no,yes,no,,Car,"June 26, 2000","The Invisible Weapon, Ran's First Investigation",196,no,no,TV Original,no,-
no,no,no,no,,Open window,"July 3, 2000",The Super Car's Trap (Part 1),197,no,no,TV Original,no,-
no,no,no,no,,Coal tar,"July 10, 2000",The Super Car's Trap (Part 2),198,no,no,TV Original,no,-
yes,no,no,no,,Chain lock,"July 17, 2000","Kogoro Mouri, Suspect (Part 1)",199,no,no,V27 - F1~3,no,-
yes,no,yes,no,,Hayashi rice,"July 24, 2000","Kogoro Mouri, Suspect (Part 2)",200,no,no,V27 - F1~3,no,-
no,no,no,no,,Plastic bottle,"July 31, 2000",The Tenth Passenger (Part 1),201,no,no,TV Original,no,-
no,no,no,no,,Bank book,"August 7, 2000",The Tenth Passenger (Part 2),202,no,no,TV Original,no,-
no,no,no,no,,Bento (Lunch box),"August 14, 2000",The Black Wings of Icarus (Part 1),203,no,no,TV Original,no,-
no,no,no,no,,Wind,"August 21, 2000",The Black Wings of Icarus (Part 2),204,no,no,TV Original,no,-
yes,yes,yes,no,,Station board,"August 28, 2000",Metropolitan Police Detective Love Story 3 (Part 1),205,yes,no,V27 - F4~7,no,-
yes,no,yes,no,,Romaji,"September 4, 2000",Metropolitan Police Detective Love Story 3 (Part 2),206,yes,no,V27 - F4~7,no,-
no,no,no,no,,Cassette tape,"September 11, 2000",The Deduction That Was Too Good,207,no,no,TV Original,no,-
no,no,no,no,,Self-service ropeway,"October 9, 2000",The Entrance to the Maze: The Anger of the Colossus (1 Hour Special),208,no,no,TV Original,no,-
no,no,no,no,,A trace of tire slip,"October 16, 2000",The Falling from Mt. Ryujin Case,209,no,no,TV Original,no,-
no,no,no,no,,Hanging scroll,"October 23, 2000",The Water Palace of Five Colors Legend (Part 1),210,no,no,TV Original,no,-
no,no,no,no,,Water wheel,"October 30, 2000",The Water Palace of Five Colors Legend (Part 2),211,no,no,TV Original,no,-
yes,no,no,no,,Hunter,"November 6, 2000","Mushrooms, Bears, and the Detective Boys (Part 1)",212,no,no,V27 - F10,no,-
yes,no,yes,no,,Matsutake mushroom,"November 13, 2000","Mushrooms, Bears, and the Detective Boys (Part 2)",213,no,no,V27 - F10,no,-
no,no,no,no,,Mace spray,"November 20, 2000",The Mysterious Retro Room Case,214,no,no,TV Original,no,-
no,no,no,no,,Tide,"November 27, 2000",The Bay of Revenge (Part 1),215,no,no,TV Original,no,-
no,no,no,no,,Dog's name,"December 4, 2000",The Bay of Revenge (Part 2),216,no,no,TV Original,no,-
yes,no,yes,no,,Accessories,"December 11, 2000",Megure's Sealed Secret (Part 1),217,yes,no,V28 - F11,no,-
yes,yes,yes,no,,Thick-soled boots,"December 18, 2000",Megure's Sealed Secret (Part 2),218,yes,no,V28 - F11,no,-
no,yes,no,yes,,10 yen coin,"January 8, 2001",The Gathering of the Detectives! Shinichi Kudo vs. Kaitou Kid (2 Hour Special),219,yes,no,MKV4 - C3~4,no,-
no,yes,no,no,,Morning newspaper,"January 15, 2001",The Client Full of Lies (Part 1),220,no,no,V28 - F3~5,no,-
no,no,yes,no,,Bandage,"January 22, 2001",The Client Full of Lies (Part 2),221,no,no,V28 - F3~5,no,-
yes,no,yes,no,,Numbered tag,"January 29, 2001",And Then There Were No Mermaids (The Case),222,no,no,V28 - F6~10,no,-
yes,no,no,no,,Mermaid's grave,"February 5, 2001",And Then There Were No Mermaids (The Deduction),223,no,no,V28 - F6~10,no,-
